Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
43,3,6,6,29,0,21,7,3,1,2,0,2,2,1,3,0,0,0
23,0,0,0,24,0,60,15,3,0,1,0,2,1,1,4,0,2,5
48,2,2,3,4,0,50,11,1,1,1,0,0,2,1,5,1,1,3
30,3,2,1,10,2,41,0,1,0,3,0,1,2,1,2,0,1,5
46,2,4,0,15,1,41,5,1,0,2,0,1,3,0,2,1,0,3
59,3,1,4,4,1,56,1,2,0,0,1,1,4,2,3,2,2,2
36,3,3,4,22,1,23,4,2,1,1,0,1,5,1,4,2,0,3
51,2,1,5,34,2,32,7,4,2,2,1,0,5,1,1,2,1,2
26,2,5,6,24,1,22,13,3,2,3,1,1,5,2,4,2,0,0
41,3,1,3,29,2,48,12,5,2,3,1,2,1,2,5,1,0,0
29,2,5,1,1,1,22,7,5,2,1,1,1,1,2,4,0,0,3
53,2,5,6,4,1,22,12,1,0,2,0,1,2,0,5,2,1,4
30,1,1,3,2,2,60,8,5,2,3,1,1,3,1,2,1,1,2
48,1,1,2,32,1,38,9,2,1,3,0,0,5,1,5,2,2,4
31,2,1,6,27,2,34,9,1,2,1,0,2,5,0,2,1,1,3
44,3,2,5,9,0,23,14,4,2,0,1,0,1,1,3,2,0,5
42,1,5,1,30,0,52,3,5,2,1,1,2,4,0,1,1,1,2
42,2,2,2,10,1,24,14,2,1,3,0,2,4,2,5,0,2,4
52,3,4,3,26,0,38,10,4,1,3,1,1,4,1,1,2,0,2
49,0,0,0,24,1,46,2,5,2,2,0,2,5,0,3,1,2,5
28,2,0,6,8,1,44,3,3,0,1,1,0,5,2,4,2,2,5
53,1,5,3,33,2,31,7,2,0,1,0,1,3,2,4,2,1,3
49,0,4,0,26,0,32,3,1,2,3,1,0,3,2,4,1,0,3
23,2,2,6,23,2,31,2,4,2,0,0,1,5,1,5,0,1,4
23,0,6,1,7,1,20,10,3,2,1,0,1,1,2,2,1,2,0
46,1,2,4,9,1,42,5,2,0,2,0,2,3,2,4,2,1,1
48,3,4,2,14,1,36,4,3,2,2,1,0,1,0,3,2,2,4
48,1,4,3,14,1,44,2,3,2,3,1,2,2,1,3,0,2,3
39,1,4,3,30,1,46,13,5,2,0,0,0,1,2,2,0,1,5
59,2,5,5,34,0,55,9,3,0,3,1,2,5,1,4,2,2,0
25,3,2,3,28,1,40,4,1,0,2,0,2,3,2,4,2,2,1
24,2,3,3,34,2,40,13,5,2,0,1,1,5,1,4,1,1,1
28,1,0,4,25,2,38,7,1,1,2,1,2,4,0,4,2,2,3
50,0,0,5,29,1,57,12,2,2,3,1,1,3,2,3,0,1,3
54,3,2,6,20,1,22,10,4,0,1,0,0,1,1,1,0,2,1
33,0,1,1,11,1,45,8,4,2,3,1,1,4,2,2,2,0,1
30,3,1,3,31,2,41,11,5,2,2,0,0,3,2,4,1,1,1
40,3,1,0,23,2,49,11,2,0,2,0,1,2,0,2,2,2,2
27,1,3,4,29,0,32,15,4,0,2,0,2,2,2,5,2,1,0
50,2,3,3,15,0,25,9,1,1,3,0,2,5,2,3,2,1,2
23,3,4,3,9,1,24,14,3,2,2,1,2,3,0,5,0,2,3
27,0,6,4,10,2,49,12,4,2,2,0,0,1,0,5,2,2,5
41,0,6,2,14,1,59,4,5,1,0,0,1,3,0,2,1,0,1
50,3,0,1,10,0,39,8,2,2,2,1,2,5,0,5,2,2,2
32,2,6,4,25,2,34,14,1,1,1,0,0,4,2,4,0,2,0
52,1,2,0,14,2,55,10,2,0,0,0,0,4,2,3,2,0,2
51,3,5,6,33,2,28,9,4,0,1,1,2,5,0,5,1,2,2
26,0,6,3,13,2,39,0,3,1,0,0,0,1,1,5,1,1,0
59,2,6,3,34,2,43,6,1,1,3,0,2,2,2,2,2,1,3
52,1,3,2,7,1,57,6,1,1,1,1,2,5,2,5,0,2,0
55,2,2,0,28,0,32,1,1,0,2,0,2,3,1,4,2,1,0
36,3,1,3,9,2,25,15,1,1,0,1,0,4,2,2,1,2,2
32,3,4,2,21,2,22,7,2,0,1,0,1,5,2,5,1,1,4
41,3,2,4,32,0,59,15,2,0,2,0,2,4,1,2,1,2,4
29,2,2,2,21,0,22,6,3,0,1,0,2,2,0,2,1,1,2
41,0,6,2,33,2,46,8,3,1,2,0,2,3,1,5,1,0,1
55,1,4,3,33,2,43,0,1,2,0,1,0,5,0,2,2,2,5
38,1,4,1,2,1,48,6,4,2,2,0,0,1,0,4,1,0,5
59,0,6,0,8,0,39,15,4,2,2,0,1,3,0,3,0,1,3
32,3,6,4,7,2,49,15,1,2,3,0,0,3,2,1,0,1,5
28,3,4,0,16,1,38,11,4,0,2,1,2,5,0,2,1,2,0
25,3,1,0,14,1,32,10,2,0,0,0,2,3,1,4,2,1,2
45,3,5,6,28,1,47,7,4,2,3,1,1,2,2,2,2,0,3
27,2,0,4,16,0,39,3,1,0,1,0,0,1,1,2,0,2,0
40,0,1,4,1,1,47,9,3,1,3,0,2,4,1,2,0,1,0
25,1,5,0,10,2,53,6,4,0,0,0,1,4,0,3,0,2,4
30,0,5,1,14,1,49,2,2,0,0,0,2,3,0,1,2,0,2
45,0,3,5,24,0,47,9,2,2,0,0,0,3,0,2,0,2,5
48,3,1,6,14,1,25,13,3,0,0,0,1,4,2,4,1,1,5
57,1,1,4,19,1,55,7,2,2,3,0,2,2,2,3,0,2,0
32,3,3,6,2,0,35,4,3,0,0,0,0,2,1,5,1,2,3
31,0,1,4,27,0,57,2,4,2,2,1,1,4,1,5,1,0,4
56,2,6,6,35,1,58,13,4,1,2,0,0,5,1,3,2,2,4
55,2,3,1,35,2,44,12,1,0,0,1,0,4,0,5,1,1,1
56,2,1,3,22,1,28,4,2,1,2,0,0,2,1,1,0,0,0
31,2,5,0,9,1,25,6,1,0,2,0,2,4,0,5,2,1,5
55,1,1,6,31,0,58,15,3,0,3,1,2,1,0,2,0,0,1
48,3,5,3,34,0,44,11,1,2,2,0,1,4,0,2,2,1,3
50,0,5,1,6,0,25,1,3,2,2,1,1,5,0,2,2,0,4
28,2,6,0,2,0,48,0,2,2,1,1,2,4,0,1,0,2,4
60,0,4,2,8,1,34,4,4,0,3,1,2,2,2,3,2,1,4
47,0,0,3,17,0,38,1,1,1,2,0,1,5,1,4,0,1,1
23,3,5,0,22,2,37,14,2,0,1,1,0,3,0,3,0,1,2
23,0,4,3,19,2,22,5,4,2,2,1,2,3,2,2,2,2,4
35,3,0,3,12,0,22,3,2,0,3,1,1,1,1,4,1,1,2
53,2,4,0,8,0,52,3,5,0,0,0,2,5,2,3,1,0,4
49,1,5,3,7,2,28,3,3,0,3,1,0,2,0,5,1,1,4
43,2,1,5,28,0,43,3,1,1,2,1,2,3,1,5,0,1,3
41,0,3,5,13,0,41,8,3,0,2,1,2,2,0,2,1,1,1
59,2,4,3,13,0,48,3,3,2,0,0,2,2,1,2,0,0,5
52,2,2,2,19,1,30,9,2,0,1,1,0,3,1,2,2,2,3
53,0,1,4,1,0,29,1,1,1,2,0,1,3,2,1,1,1,2
42,3,6,4,3,2,31,0,3,2,2,0,2,4,2,3,0,1,5
24,3,0,0,6,2,43,4,5,1,0,1,1,3,2,4,1,0,4
37,2,4,5,15,0,56,2,2,1,0,1,0,5,0,4,2,0,2
58,2,1,1,15,0,58,9,2,2,1,1,0,5,0,4,1,2,3
33,0,4,4,34,2,53,7,4,2,2,1,0,4,2,3,0,2,3
24,3,4,6,22,2,36,3,5,1,0,0,1,5,2,2,2,0,4
46,0,4,0,17,1,40,9,2,1,2,0,2,1,0,2,1,1,4
27,1,2,6,23,1,60,8,1,2,1,1,1,3,2,4,0,0,2
35,2,4,1,21,1,44,2,5,1,0,0,1,1,2,4,1,1,0
24,2,2,2,7,2,33,15,4,0,1,0,0,5,1,4,0,2,4
60,1,1,0,21,1,50,7,5,0,0,1,1,3,0,2,1,2,1
59,2,1,5,7,2,38,10,5,2,1,1,0,5,0,1,0,2,4
23,3,6,0,13,2,51,14,3,1,3,1,2,3,2,1,1,0,3
55,0,5,3,11,2,59,6,2,0,1,0,1,1,2,4,0,2,2
40,1,6,2,16,0,54,0,4,1,3,1,1,5,2,4,1,1,0
39,2,6,4,17,2,34,8,3,2,1,1,1,4,1,3,1,2,1
51,0,5,0,31,2,37,3,2,0,0,0,0,2,1,5,2,2,5
40,0,5,3,26,2,24,5,3,2,0,1,1,1,0,4,0,1,1
34,1,6,2,1,2,60,0,2,1,2,1,0,2,1,2,2,1,3
49,2,0,3,17,0,34,5,2,0,2,0,0,3,0,1,0,1,5
24,2,0,1,30,0,25,0,3,2,3,0,0,4,1,1,2,2,0
48,2,2,1,4,2,41,13,3,0,1,0,0,2,2,3,2,1,4
40,2,6,1,3,2,54,15,2,2,2,0,2,2,2,2,0,1,2
45,3,5,1,10,0,39,2,1,0,0,1,1,2,0,3,2,0,5
30,1,3,0,16,0,52,15,2,2,0,0,1,1,2,4,1,2,2
25,3,2,1,35,2,54,5,1,2,3,0,2,5,1,2,2,1,5
57,2,6,0,8,0,22,15,5,1,0,1,2,5,1,3,0,0,5
53,1,4,4,12,1,43,11,4,0,2,1,1,4,1,5,1,2,4
56,0,0,6,27,1,35,14,5,2,3,1,1,4,2,1,0,1,3
26,3,2,5,2,0,26,0,1,0,2,0,2,2,1,3,2,1,4
58,0,0,4,25,0,32,13,4,0,1,0,2,2,0,4,2,1,1
57,2,6,1,32,2,53,9,3,1,0,0,0,3,0,2,1,1,0
44,3,1,0,23,2,32,15,3,2,3,1,1,3,0,5,0,1,0
32,0,1,2,23,1,35,1,5,2,3,1,1,4,0,5,1,1,5
42,2,2,5,20,1,44,6,5,2,3,0,2,3,2,3,1,0,0
43,2,2,4,25,0,24,5,3,2,2,1,0,5,0,4,2,1,0
58,0,3,5,33,2,47,14,5,2,3,0,1,4,2,1,0,0,0
27,1,6,6,18,1,32,1,5,0,0,1,0,3,0,1,2,1,5
25,1,0,3,13,2,32,0,2,1,0,0,0,4,2,4,1,2,4
30,3,0,5,14,2,39,4,1,0,3,0,1,2,2,3,1,2,2
44,1,1,0,7,2,49,11,2,1,2,1,1,2,1,3,1,2,0
28,2,0,2,21,2,59,7,4,2,2,0,2,3,2,1,0,0,3
36,0,0,1,6,1,23,13,5,1,0,0,0,5,0,1,2,1,3
35,3,0,6,20,2,34,0,1,1,3,1,1,2,0,2,2,0,2
29,3,4,1,12,1,49,4,4,2,1,0,0,4,0,1,2,2,4
56,0,2,3,6,2,39,11,4,1,0,0,1,5,0,3,1,1,1
45,0,1,0,17,2,26,13,3,2,3,0,2,3,0,5,2,1,4
47,0,4,4,7,1,50,7,1,1,3,0,0,5,1,1,1,2,3
41,1,3,3,30,1,46,4,2,1,3,0,1,4,1,1,1,0,1
47,3,1,4,1,0,46,6,5,1,2,0,1,1,1,4,1,0,1
32,0,1,1,20,1,22,7,2,0,0,1,2,3,2,2,2,0,4
56,2,6,1,33,1,56,13,5,0,0,1,2,1,0,5,0,0,1
60,3,5,2,29,2,35,8,5,2,3,1,0,2,1,2,1,1,3
42,2,2,5,25,0,54,15,3,0,0,1,2,3,1,4,1,2,3
36,2,1,6,6,1,51,5,5,1,0,0,1,4,2,3,1,0,3
40,2,3,3,9,2,45,4,4,1,0,1,1,1,2,5,2,2,3
32,0,3,2,13,2,42,4,2,2,2,0,1,5,0,5,1,0,5
32,1,6,6,20,1,55,9,3,0,1,1,2,3,1,4,1,2,5
49,2,3,6,32,0,21,5,1,2,3,0,1,4,1,3,1,2,5
42,2,5,0,19,0,41,15,5,0,0,0,1,1,1,4,1,1,1
39,3,4,0,10,0,49,13,5,2,1,1,0,3,0,2,1,1,5
29,2,5,3,14,2,47,7,2,2,3,0,1,5,2,2,0,1,2
52,2,0,0,19,0,29,8,2,2,3,0,1,2,1,3,0,1,4
25,3,0,5,6,2,20,5,3,0,1,1,0,5,2,4,0,2,0
58,0,3,4,20,2,20,5,5,1,0,1,0,2,2,3,1,2,5
59,3,0,1,23,2,25,15,3,1,2,0,1,4,0,1,0,1,2
60,0,1,2,28,0,23,10,5,2,1,1,0,4,2,4,2,0,5
24,0,0,1,9,1,43,9,5,0,2,0,1,1,1,2,0,1,5
49,3,5,6,21,2,39,0,1,2,2,0,1,1,2,4,0,2,5
25,1,3,0,2,0,45,11,3,0,3,0,1,1,0,4,1,2,2
56,1,3,2,1,2,20,15,1,1,0,0,0,5,2,2,1,0,1
34,3,6,2,11,0,58,10,3,2,3,1,1,5,0,3,0,1,2
43,3,0,3,26,0,45,0,5,2,3,0,0,1,2,2,0,0,4
56,2,4,5,30,0,32,5,4,0,3,1,0,1,2,1,1,1,2
46,0,1,3,7,1,45,15,4,2,3,0,2,4,0,2,2,1,2
35,2,2,2,23,1,35,11,1,1,1,0,1,3,0,5,0,0,3
56,0,3,1,17,2,22,15,5,2,1,0,1,2,0,5,1,1,5
27,0,1,1,11,1,21,12,2,0,2,0,0,4,0,2,2,1,2
58,3,0,1,24,0,23,1,1,0,3,1,0,4,2,3,2,2,4
26,1,5,0,10,2,39,0,5,1,3,0,2,3,0,1,0,2,3
31,2,4,4,11,0,43,3,3,0,0,1,0,1,0,5,0,2,3
53,1,2,4,32,1,32,13,4,2,1,1,0,5,2,5,0,2,0
41,3,1,3,4,0,27,8,1,2,3,1,2,1,2,5,1,2,4
24,3,4,0,13,1,45,3,4,0,1,0,0,3,1,5,2,0,2
46,3,5,0,19,1,26,12,3,0,1,0,0,4,1,3,1,0,0
45,1,3,3,29,2,28,1,3,2,0,0,0,2,2,1,1,0,3
23,2,0,3,1,1,43,13,5,2,0,0,2,5,1,1,1,0,3
55,2,4,5,8,2,28,12,2,2,0,1,1,5,0,1,0,2,1
38,0,0,1,10,1,37,0,3,2,2,1,2,4,2,3,1,0,2
34,2,5,1,29,2,21,13,3,2,2,0,0,4,1,4,2,1,5
24,1,3,2,29,2,38,1,5,0,3,0,0,4,0,1,2,0,3
46,2,2,3,16,0,28,5,3,2,3,1,2,1,1,4,1,2,4
36,3,1,0,33,2,33,0,2,1,2,0,1,3,0,3,0,1,0
30,0,4,1,31,0,25,4,4,2,1,1,2,1,1,3,0,2,2
34,0,4,5,23,0,44,9,1,0,1,0,1,5,2,2,0,2,4
40,1,4,2,6,2,49,15,5,0,1,1,2,4,1,3,0,1,3
37,0,2,4,1,2,60,0,5,2,0,0,2,5,1,4,0,1,3
37,2,2,1,1,0,28,3,2,0,1,1,1,3,1,4,0,0,5
33,2,1,1,19,2,41,5,3,1,3,1,2,4,2,2,0,1,1
53,3,2,1,7,0,51,13,1,0,2,0,2,1,1,1,2,2,4
23,1,1,5,5,2,52,9,5,0,3,0,2,2,0,5,0,2,5
22,1,4,0,24,2,31,10,4,2,1,0,1,1,0,1,0,1,3
45,2,6,5,6,2,51,3,4,0,3,1,0,1,2,4,0,2,1
25,1,0,3,23,0,36,9,4,0,2,1,1,5,2,3,2,1,2
44,0,6,3,14,0,59,10,3,2,3,1,1,4,2,1,0,2,1
36,1,3,4,31,2,43,7,3,2,2,0,1,4,2,3,2,0,4
37,1,5,4,1,1,54,13,3,0,0,1,1,2,2,1,0,2,5
45,0,6,0,30,1,43,7,2,1,1,1,0,2,0,4,0,2,2
48,1,2,6,7,2,22,2,5,2,2,0,2,5,1,4,2,0,2
42,2,4,3,7,2,34,8,4,0,1,0,0,5,1,5,1,0,4
24,2,3,5,33,2,23,5,3,2,2,0,2,3,1,4,0,2,3
58,2,6,0,29,2,27,3,4,2,1,0,2,2,0,1,1,1,3
50,1,6,3,35,2,45,1,1,1,0,1,0,1,2,3,2,2,0
46,3,4,6,12,2,42,7,2,0,2,1,1,2,2,4,0,0,2
56,2,4,6,25,0,40,7,4,2,0,0,1,4,1,5,1,1,3
27,0,6,2,20,0,46,6,4,1,0,0,1,5,2,3,2,0,4
38,1,4,6,1,1,37,6,2,0,1,1,2,2,0,2,0,2,3
56,2,4,4,2,0,36,9,4,1,0,0,2,3,0,2,2,2,5
57,1,5,1,31,1,35,6,2,0,3,0,1,5,0,3,1,2,0
22,3,1,6,34,1,24,4,3,1,2,0,0,1,1,1,0,1,1
45,3,0,5,16,2,22,1,3,1,2,1,1,2,1,4,1,0,4
33,0,0,5,24,1,37,8,1,0,0,1,0,1,1,5,1,1,2
37,2,2,5,27,1,28,13,1,0,0,0,2,2,2,1,0,2,0
29,2,1,1,23,2,56,7,3,2,2,1,0,4,2,5,2,0,2
51,1,5,6,34,1,36,9,3,2,0,0,1,4,1,1,1,1,5
43,3,1,3,32,1,35,1,2,1,2,1,2,4,1,1,0,1,1
49,2,5,1,14,1,41,10,1,0,1,0,1,3,0,5,2,0,1
28,1,3,0,23,2,40,13,1,0,1,1,0,4,0,4,0,1,3
28,1,4,1,14,1,37,10,1,1,0,1,2,2,1,5,1,2,0
23,3,5,3,1,0,27,12,3,1,2,0,2,3,2,1,1,0,5
32,0,6,1,22,1,51,11,3,0,2,1,2,5,2,2,2,0,3
58,0,3,6,27,2,35,4,1,2,2,0,1,5,1,5,0,1,3
57,0,4,4,20,0,46,7,5,1,0,0,1,3,0,1,0,0,4
27,1,5,4,17,0,50,7,2,0,2,0,2,5,0,5,0,2,5
40,2,1,6,21,2,26,2,1,0,0,1,0,1,2,3,0,2,4
55,0,6,3,11,1,38,14,5,1,2,0,0,4,0,4,0,0,4
54,0,6,0,26,0,57,2,4,0,3,0,1,2,1,5,2,0,3
54,2,6,6,14,2,26,15,4,1,1,0,1,2,2,2,1,2,2
26,2,6,3,24,2,41,11,1,0,2,1,1,2,1,4,2,1,3
48,0,6,6,23,2,41,5,4,2,2,1,1,5,1,1,2,0,1
32,0,2,1,6,1,25,9,4,1,0,0,2,4,1,2,0,2,4
52,0,6,4,35,2,56,10,4,1,1,0,2,1,0,3,2,0,0
57,3,2,2,7,2,43,8,2,1,0,0,2,2,0,3,0,0,2
36,1,0,2,32,2,39,5,3,2,2,1,2,3,1,5,0,0,0
54,3,5,0,19,2,39,12,1,1,3,1,0,1,0,1,2,0,2
40,3,1,1,6,0,53,4,2,2,3,0,1,5,2,3,1,0,5
49,2,1,4,29,2,27,6,2,1,1,1,0,4,2,2,2,1,1
24,3,2,6,31,0,47,10,1,0,3,0,2,3,2,2,1,0,5
54,2,4,5,8,1,29,14,4,2,0,1,1,1,2,3,1,2,4
35,0,2,4,24,2,41,4,5,0,3,0,2,2,1,5,2,2,0
55,2,6,0,11,2,22,7,1,0,3,1,2,1,2,5,2,0,3
36,1,4,0,31,0,41,13,5,1,0,1,2,2,1,2,2,1,2
43,0,2,0,29,0,44,14,1,1,1,1,0,3,0,4,1,1,5
25,3,3,4,24,2,57,14,3,0,0,0,0,5,2,5,2,1,3
42,1,0,6,5,2,43,2,3,2,0,1,1,1,2,3,1,1,1
24,1,0,4,17,1,43,11,2,0,1,1,1,2,1,1,2,0,2
48,1,2,6,6,0,20,4,1,2,3,0,1,4,0,3,1,0,0
47,0,4,6,21,1,55,11,3,0,2,1,0,1,0,3,1,0,0
54,3,6,1,35,1,44,15,4,2,2,1,2,2,0,2,0,1,0
43,2,5,6,29,1,37,15,3,0,0,1,2,3,2,4,2,0,1
29,3,4,5,9,2,59,5,2,2,0,0,2,2,0,1,1,0,2
37,0,2,1,27,2,43,11,3,0,3,1,1,5,2,2,2,1,0
39,0,6,5,4,0,57,2,3,1,2,0,1,2,0,5,2,1,3
46,1,6,2,17,0,51,3,2,0,3,0,0,4,0,5,1,1,1
44,0,1,6,35,0,39,12,3,2,1,1,0,4,0,1,2,0,4
36,2,0,0,14,0,56,5,3,1,1,0,2,3,1,1,2,1,1
28,2,1,3,30,1,53,6,1,1,3,1,2,1,1,3,1,1,2
23,1,4,1,1,1,33,10,1,1,3,0,0,3,1,1,2,0,0
60,3,0,6,4,2,47,6,5,2,0,1,2,5,1,3,1,2,4
55,3,6,1,35,1,42,2,3,1,1,1,0,2,0,5,0,1,1
34,0,0,2,12,2,32,15,5,2,1,1,0,3,1,4,2,1,4
30,3,2,3,17,0,58,4,5,2,1,0,0,1,2,3,1,0,1
26,1,5,2,17,0,46,5,1,1,3,0,1,3,1,1,0,0,5
44,0,1,6,10,0,29,7,3,1,2,1,0,5,1,1,1,0,2
24,3,0,1,3,2,39,6,1,1,2,1,1,2,2,4,2,2,5
59,0,5,0,15,1,24,8,4,0,3,1,2,2,1,5,0,0,1
60,0,0,4,32,0,30,0,3,2,0,0,1,3,1,5,2,1,3
32,1,0,4,14,2,37,8,2,2,1,1,1,1,0,3,0,1,5
49,3,2,4,26,0,32,13,4,1,0,0,2,2,0,5,0,2,3
36,1,2,1,4,0,49,12,4,2,2,0,0,5,2,3,2,1,0
40,1,2,5,27,0,24,7,5,0,2,0,0,5,2,2,1,0,4
49,2,5,3,11,1,20,9,2,0,0,1,0,4,1,2,1,2,0
26,1,2,4,22,0,41,4,3,0,2,0,1,2,1,5,2,0,1
49,3,2,3,8,1,27,0,5,2,1,1,1,5,2,5,0,0,5
60,3,5,5,28,0,43,12,2,2,0,0,2,4,1,5,1,1,0
42,0,0,1,10,0,34,8,3,1,2,0,2,5,0,1,0,1,1
28,1,5,4,35,2,20,8,5,0,1,1,2,2,1,2,1,0,4
45,3,2,3,19,2,49,11,3,0,0,1,0,1,0,2,0,2,3
27,3,2,3,17,2,39,1,3,0,3,1,1,5,0,2,1,0,4
44,1,2,0,12,1,56,15,3,1,0,1,1,4,0,3,1,1,3
28,0,4,6,23,0,55,12,4,0,0,0,2,3,1,3,2,1,0
43,0,4,6,19,2,59,15,4,2,0,0,1,1,2,4,1,1,2
24,2,5,5,21,1,33,6,5,0,0,1,0,2,2,3,2,1,2
53,1,1,1,31,0,42,13,3,1,2,1,1,3,1,2,0,2,5
41,3,1,1,4,2,22,4,1,0,2,0,2,5,0,2,1,2,3
59,0,1,1,8,0,42,11,1,0,2,0,0,2,1,1,2,2,5
45,1,1,0,20,2,31,14,3,0,3,0,2,4,2,2,2,1,0
26,2,0,3,2,2,40,9,3,2,2,0,2,3,0,5,1,0,5
52,3,2,5,17,2,20,5,4,2,2,1,1,2,1,1,0,2,1
48,3,2,4,25,0,28,1,3,2,1,0,0,5,2,4,2,0,5
22,3,1,1,23,0,35,13,1,1,0,1,2,2,2,1,1,2,3
41,2,4,5,4,2,60,11,1,2,2,0,0,4,2,3,1,0,0
50,2,6,6,9,0,58,7,3,2,1,0,0,4,0,4,0,1,3
29,1,1,3,16,2,28,0,3,2,3,0,1,5,2,3,1,1,2
27,0,2,1,29,2,44,14,2,0,1,0,0,4,0,1,2,0,0
43,3,6,4,14,0,50,4,5,1,3,1,2,4,2,4,0,1,4
51,2,5,3,25,2,60,1,4,1,3,1,0,5,2,3,2,0,0
47,1,6,3,6,1,53,5,5,2,0,0,1,5,0,3,2,2,0
44,0,2,1,17,2,36,7,4,0,3,1,1,5,1,2,2,1,1
44,3,0,6,21,1,24,0,3,2,1,1,1,4,2,3,0,1,5
43,1,0,6,5,2,25,0,3,2,1,1,1,5,0,3,1,1,3
22,1,5,4,20,2,47,8,5,1,2,0,2,3,2,2,2,1,5
40,3,4,4,11,2,50,10,4,0,1,1,2,4,2,1,2,2,5
34,2,6,1,10,1,40,11,5,2,2,1,0,4,2,5,1,0,0
59,1,2,3,22,0,39,11,1,0,1,0,2,2,2,4,0,2,4
26,1,6,4,2,0,54,12,4,2,1,1,2,5,2,3,0,0,4
40,0,2,5,24,1,44,9,3,2,3,1,2,3,2,4,2,2,2
47,1,1,6,2,2,33,3,2,2,1,1,1,4,2,5,0,2,0
54,1,3,0,23,1,25,8,5,2,1,1,1,5,2,3,1,0,5
26,0,2,1,3,0,33,8,2,2,0,0,1,2,0,4,1,0,5
52,2,0,2,25,2,31,7,3,0,3,1,0,4,0,4,0,0,0
38,0,5,2,12,2,36,1,3,0,3,1,0,5,1,1,2,1,1
34,2,3,4,22,2,35,9,2,1,1,0,0,2,1,5,1,2,2
39,3,6,3,22,2,24,12,2,0,2,1,2,4,1,2,1,0,4
60,2,6,5,33,1,50,7,3,2,2,1,1,5,0,5,2,0,2
24,1,3,6,6,1,30,11,3,2,1,0,0,3,1,5,1,1,4
49,3,4,4,30,0,38,3,3,2,0,0,0,3,1,4,0,0,0
45,2,5,4,1,0,40,5,1,0,2,0,1,3,0,5,2,0,3
28,0,6,6,19,2,40,9,3,1,3,1,2,4,0,1,2,1,4
34,1,1,1,1,2,29,2,5,2,1,0,2,1,2,2,0,0,5
27,2,3,5,30,0,42,11,1,2,2,1,0,3,1,4,2,1,3
35,1,3,4,35,1,50,3,4,0,2,1,2,2,2,2,0,2,0
47,3,2,6,4,2,23,13,4,0,0,0,2,2,0,3,1,1,0
51,3,1,6,6,2,31,10,3,2,2,0,1,3,2,1,1,0,1
25,3,3,1,12,0,44,9,4,0,3,1,2,4,2,5,1,0,0
36,1,1,6,2,1,27,6,4,0,1,0,1,1,1,2,1,1,0
47,1,2,2,26,2,59,15,3,1,0,1,1,4,1,3,1,0,4
60,0,2,1,33,0,36,4,3,1,2,1,2,4,0,1,1,2,1
25,1,1,3,13,1,26,8,4,1,1,0,2,5,0,4,1,0,4
26,1,5,6,17,0,32,9,3,0,2,1,0,1,1,1,2,1,0
55,0,4,4,6,1,23,11,4,0,0,1,0,3,1,3,0,0,5
31,2,4,5,2,1,30,9,3,0,0,1,2,1,1,5,0,1,3
36,0,1,5,1,0,24,0,5,1,3,0,0,3,0,4,1,2,5
23,2,0,2,33,2,37,6,5,0,3,0,0,5,1,4,0,0,4
56,0,1,2,8,0,41,15,1,2,0,0,0,1,0,2,0,0,0
36,2,4,3,33,2,42,9,2,1,0,1,2,3,0,5,1,2,2
33,1,6,5,16,2,34,9,3,1,3,0,0,4,2,5,1,1,0
50,3,3,5,32,1,54,8,2,0,2,0,1,3,2,5,1,2,4
29,3,3,2,8,1,29,8,2,1,1,1,0,5,1,3,1,2,1
55,2,0,3,8,1,58,14,1,2,2,1,0,3,0,2,1,0,3
34,2,5,4,33,0,57,6,5,2,1,1,0,1,2,1,1,1,4
48,2,3,3,23,2,39,3,3,0,3,0,2,3,0,4,2,2,1
51,1,1,6,24,1,50,5,1,0,1,0,1,1,2,3,2,0,4
31,2,5,3,27,0,42,4,4,1,1,1,0,1,2,5,1,2,4
22,3,4,5,8,1,35,2,1,0,3,1,2,2,0,4,1,1,0
23,0,5,3,7,2,54,10,5,0,0,1,2,3,1,5,1,2,5
55,3,1,4,22,1,36,8,2,2,1,0,0,3,2,3,0,0,0
52,3,6,1,16,2,26,12,4,2,1,1,0,3,1,5,0,2,1
47,3,1,2,14,0,55,14,4,1,3,1,0,2,2,4,1,2,3
46,0,0,3,14,0,23,8,1,2,3,0,2,5,1,3,1,1,1
28,2,3,4,23,2,43,10,2,2,1,0,0,2,2,1,1,1,0
57,3,2,6,17,1,44,13,3,1,3,1,0,4,1,5,1,0,1
26,1,2,0,18,2,36,9,5,0,2,0,1,2,1,2,0,1,0
39,2,4,1,19,2,59,15,1,1,3,0,0,3,0,4,0,1,1
54,2,5,5,27,2,24,2,2,1,0,1,0,5,0,5,2,0,5
25,3,0,2,8,2,40,6,2,2,0,1,2,2,0,5,0,0,3
40,3,0,5,23,1,30,0,1,2,1,1,2,3,0,3,0,0,4
56,2,3,6,34,2,51,9,1,2,1,1,2,4,2,5,2,1,1
32,1,0,4,15,1,37,10,5,2,3,0,2,2,1,4,2,0,5
34,2,6,2,30,2,54,11,4,0,2,0,2,4,0,5,2,1,1
57,0,5,2,14,0,27,4,1,2,0,0,0,5,2,4,0,1,4
